127.0.0.1 - - [28/Dec/2016:22:07:14 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:16 +0530] "GET /TestProject/NewFile.jsp HTTP/1.1" 200 7517
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/default.css HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/images/img06.jpg HTTP/1.1" 200 8073
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/images/img01.jpg HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/images/img04.jpg HTTP/1.1" 200 12659
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/images/img02.jpg HTTP/1.1" 200 33469
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/images/img07.jpg HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/images/logo1.png HTTP/1.1" 200 127411
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/images/img03.jpg HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/images/img13.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/images/img05.jpg HTTP/1.1" 200 9194
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /TestProject/images/img12.jpg HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:18 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:30 +0530] "GET /TestProject/login.jsp HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:30 +0530] "GET /TestProject/login-box.css HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:30 +0530] "GET /TestProject/images/login.png HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:30 +0530] "GET /TestProject/images/submit.png HTTP/1.1" 200 3231
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:30 +0530] "GET /TestProject/images/login-box-backg.png HTTP/1.1" 200 79415
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:48 +0530] "POST /TestProject/loginchk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:07:48 +0530] "GET /TestProject/credentials.jsp?name=Arijit HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:08:00 +0530] "GET /TestProject/template1.jsp HTTP/1.1" 200 6181
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:08:31 +0530] "POST /TestProject/sensorallocation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:08:31 +0530] "GET /TestProject/vs_activation.jsp?vs_id=250 HTTP/1.1" 200 4158
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:08:31 +0530] "GET /TestProject/style.css HTTP/1.1" 200 8706
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:08:42 +0530] "POST /TestProject/startVS.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:08:42 +0530] "GET /TestProject/vs_activation.jsp?vs_id=250 HTTP/1.1" 200 4158
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:02 +0530] "POST /TestProject/startVS.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:02 +0530] "GET /TestProject/query.jsp HTTP/1.1" 200 6986
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:09 +0530] "POST /TestProject/queryevaluation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:09 +0530] "GET /TestProject/query1.jsp HTTP/1.1" 200 7274
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:13 +0530] "POST /TestProject/queryevaluation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:13 +0530] "GET /TestProject/query1.jsp HTTP/1.1" 200 7034
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:18 +0530] "POST /TestProject/queryevaluation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:18 +0530] "GET /TestProject/query1.jsp HTTP/1.1" 200 7034
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:23 +0530] "POST /TestProject/queryevaluation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:23 +0530] "GET /TestProject/query1.jsp HTTP/1.1" 200 7478
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:28 +0530] "GET /TestProject/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2016:22:09:28 +0530] "GET /TestProject/NewFile.jsp HTTP/1.1" 200 7517
